実質季節調整系列(前期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Seasonally Adjusted Series (Quarter-to-Quarter Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
7- 9.,-0.0 ,-0.8 ,-0.8 ,-1.1 ,0.1 ,-0.0 ,***,0.1 ,-4.7 ,***,***,1.9 ,-0.1 ,,***,-0.2 ,***,3.9 ,2.6 ,-0.1 ,,-0.3 ,-0.1 ,-0.9 ,,-0.9 ,,-0.4 ,,,,
10-12.,1.3 ,1.6 ,1.6 ,1.8 ,-0.5 ,2.1 ,***,-0.0 ,1.2 ,***,***,1.2 ,0.0 ,,***,1.5 ,***,7.3 ,11.0 ,1.6 ,,1.2 ,1.5 ,0.2 ,,1.4 ,,1.4 ,,,,
2007/ 1- 3.,0.7 ,-0.3 ,-0.3 ,-0.4 ,0.1 ,0.8 ,***,0.6 ,1.2 ,***,***,2.4 ,0.8 ,,***,0.6 ,***,7.4 ,7.1 ,0.8 ,,0.5 ,0.4 ,0.6 ,,0.8 ,,0.4 ,,,,
4- 6.,0.2 ,0.9 ,0.9 ,1.0 ,-1.8 ,-1.0 ,***,1.0 ,-2.6 ,***,***,2.4 ,1.6 ,,***,0.0 ,***,1.0 ,-6.9 ,0.1 ,,-0.0 ,-0.1 ,0.4 ,,-1.4 ,,0.4 ,,,,
7- 9.,-0.7 ,-1.2 ,-1.2 ,-1.4 ,-7.9 ,-1.2 ,***,-0.2 ,-0.9 ,***,***,2.5 ,-0.9 ,,***,-0.9 ,***,0.1 ,28.6 ,-1.2 ,,-1.2 ,-1.4 ,-0.4 ,,-2.4 ,,-0.8 ,,,,
10-12.,0.6 ,0.5 ,0.5 ,0.6 ,-9.8 ,-0.1 ,***,0.9 ,1.7 ,***,***,3.0 ,1.4 ,,***,-0.1 ,***,3.4 ,-12.0 ,0.2 ,,0.3 ,0.0 ,1.1 ,,-1.5 ,,0.4 ,,,,
2008/ 1- 3.,0.2 ,0.2 ,0.2 ,0.1 ,1.9 ,0.7 ,***,-0.2 ,-2.8 ,***,***,2.5 ,1.3 ,,***,-0.2 ,***,-6.3 ,-13.7 ,-0.3 ,,-0.0 ,0.2 ,-0.8 ,,0.3 ,,0.4 ,,,,
4- 6.,-0.5 ,-1.1 ,-1.1 ,-1.4 ,4.0 ,-1.4 ,***,-1.1 ,-3.0 ,***,***,-2.0 ,-2.8 ,,***,-0.9 ,***,-16.1 ,-2.3 ,-1.5 ,,-0.6 ,-0.2 ,-1.7 ,,-0.8 ,,-0.9 ,,,,
7- 9.,-1.1 ,-0.2 ,-0.2 ,-0.3 ,2.3 ,-1.3 ,***,0.1 ,0.4 ,***,***,0.1 ,0.3 ,,***,-1.8 ,***,1.8 ,-7.4 ,-1.6 ,,-1.1 ,-1.5 ,0.2 ,,-0.4 ,,-0.2 ,,,,
10-12.,-2.4 ,-1.4 ,-1.4 ,-1.8 ,-1.1 ,-3.3 ,***,0.3 ,-0.5 ,***,***,-12.6 ,1.9 ,,***,-0.9 ,***,-8.8 ,-5.4 ,-1.2 ,,0.2 ,0.2 ,0.3 ,,-2.4 ,,-3.9 ,,,,
2009/ 1- 3.,-4.4 ,0.6 ,0.6 ,0.6 ,-10.1 ,-6.2 ,***,0.6 ,1.1 ,***,***,-25.5 ,-16.1 ,,***,-3.4 ,***,-8.0 ,-13.8 ,-3.4 ,,-3.2 ,-4.3 ,0.5 ,,-5.5 ,,-2.3 ,,,,
4- 6.,1.1 ,-0.5 ,-0.5 ,-0.7 ,-8.8 ,-3.0 ,***,1.2 ,8.0 ,***,***,9.1 ,-4.5 ,,***,1.1 ,***,5.9 ,-11.1 ,1.3 ,,-0.7 ,-1.7 ,2.8 ,,-1.8 ,,1.3 ,,,,
7- 9.,-0.6 ,-0.2 ,-0.3 ,-0.4 ,-6.1 ,-2.8 ,***,1.0 ,-1.9 ,***,***,9.6 ,5.3 ,,***,-1.0 ,***,-4.0 ,-2.4 ,-1.1 ,,-1.1 ,-1.6 ,0.3 ,,-3.1 ,,-0.2 ,,,,
10-12.,1.6 ,1.2 ,1.2 ,1.4 ,-1.4 ,-0.7 ,***,0.3 ,1.0 ,***,***,7.2 ,2.3 ,,***,1.4 ,***,-1.8 ,-7.0 ,1.3 ,,0.9 ,1.1 ,0.4 ,,-0.4 ,,1.3 ,,,,
2010/ 1- 3.,1.2 ,0.6 ,0.6 ,0.7 ,4.1 ,0.3 ,***,-0.7 ,1.4 ,***,***,5.9 ,2.9 ,,***,1.1 ,***,8.9 ,10.5 ,1.3 ,,0.8 ,1.2 ,-0.2 ,,1.1 ,,0.9 ,,,,
4- 6.,1.4 ,0.9 ,0.9 ,1.1 ,0.8 ,0.8 ,***,2.1 ,-5.7 ,***,***,4.8 ,4.9 ,,***,1.2 ,***,-0.1 ,8.1 ,1.1 ,,1.4 ,1.7 ,0.2 ,,-0.6 ,,0.8 ,,,,
7- 9.,1.7 ,1.6 ,1.6 ,1.9 ,1.1 ,0.9 ,***,0.4 ,-1.4 ,***,***,2.7 ,1.9 ,,***,1.7 ,***,3.5 ,-4.0 ,1.8 ,,1.6 ,2.2 ,-0.1 ,,0.4 ,,1.2 ,,,,
10-12.,-0.9 ,-1.5 ,-1.6 ,-2.0 ,3.0 ,-0.8 ,***,0.5 ,-2.3 ,***,***,0.4 ,0.7 ,,***,-1.0 ,***,2.7 ,5.3 ,-1.0 ,,-0.8 ,-1.1 ,0.0 ,,-0.5 ,,-0.9 ,,,,
2011/ 1- 3.,-1.4 ,-2.1 ,-2.2 ,-2.7 ,3.7 ,0.8 ,***,0.7 ,-1.2 ,***,***,-0.9 ,1.1 ,,***,-1.9 ,***,3.6 ,-1.0 ,-1.7 ,,-1.2 ,-1.6 ,0.3 ,,0.9 ,,-1.1 ,,,,
4- 6.,-0.6 ,1.2 ,1.1 ,1.5 ,-2.4 ,-0.9 ,***,0.3 ,2.6 ,***,***,-7.5 ,-0.4 ,,***,-1.1 ,***,-1.2 ,-4.2 ,-1.1 ,,0.4 ,0.3 ,0.8 ,,-0.4 ,,-0.5 ,,,,
7- 9.,2.4 ,1.0 ,1.0 ,1.1 ,3.6 ,1.6 ,***,0.4 ,-2.8 ,***,***,9.3 ,3.3 ,,***,2.3 ,***,-0.2 ,0.5 ,2.2 ,,1.6 ,2.1 ,-0.2 ,,1.0 ,,1.7 ,,,,
10-12.,0.0 ,1.1 ,1.0 ,1.2 ,-1.6 ,6.6 ,***,0.3 ,-3.1 ,***,***,-2.5 ,1.9 ,,***,-0.0 ,***,-4.2 ,0.3 ,-0.2 ,,0.7 ,1.0 ,-0.4 ,,3.2 ,,0.8 ,,,,
2012/ 1- 3.,1.5 ,0.2 ,0.2 ,0.2 ,-0.4 ,-0.7 ,***,1.0 ,5.8 ,***,***,3.1 ,1.6 ,,***,1.4 ,***,0.3 ,2.0 ,1.3 ,,1.3 ,1.1 ,2.0 ,,0.6 ,,0.7 ,,,,
4- 6.,-0.9 ,0.2 ,0.2 ,0.2 ,1.5 ,-0.3 ,***,-0.1 ,1.2 ,***,***,-0.9 ,2.2 ,,***,-1.0 ,***,2.3 ,10.0 ,-1.0 ,,-0.4 ,-0.6 ,0.2 ,,0.3 ,,-0.3 ,,,,
