component,period,entity_type,event_type,latest_flag,count,source_scope,identification_status
full_history_monthly,2024-03,unincorporated_association,registration,,71,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,corporation,cancellation,,2294,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,corporation,expiration,,3305,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,corporation,registration,,15193,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,individual,expiration,,4645,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,individual,registration,,21461,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,unincorporated_association,cancellation,,1,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,unincorporated_association,expiration,,73,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-04,unincorporated_association,registration,,213,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
full_history_monthly,2024-05,corporation,cancellation,,400,2026-08-31 full snapshot surviving publication history,SURVIVING_PUBLICATION_HISTORY_EXCLUDES_DELETED_99_NOT_CAUSAL
