decile,scenario,nuisance_income_scale,pseudo_filer_weighted_mean_MTR,taxable_income_weighted_mean_MTR,income_tax_liability_weighted_mean_MTR,pseudo_positive_modeled_annual_income_tax_share,continuous_proxy_fit_error_kY,exact_statutory_rounding_gap_kY,MTR_status,model_status,input_source_ids,pseudo_filer_share_MTR_0p0,pseudo_filer_share_MTR_0p05,pseudo_filer_share_MTR_0p1,pseudo_filer_share_MTR_0p2,pseudo_filer_share_MTR_0p23,pseudo_filer_share_MTR_0p33,pseudo_filer_share_MTR_0p4,pseudo_filer_share_MTR_0p45
1,pension_age_split_separate,1.82324222631,0.00427389705882,0.05,0.05,0.0854779411765,4.4408920985e-16,-0.00160227431245,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.914522058824,0.0854779411765,0,0,0,0,0,0
1,pension_member_split,1.82324222631,0.00538818076477,0.05,0.05,0.107763615295,4.4408920985e-16,-0.00160227431245,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
1,pension_member_split_f71551,1.82324222631,0.00538818076477,0.05,0.05,0.107763615295,4.4408920985e-16,-0.00160227431245,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.892236384705,0.107763615295,0,0,0,0,0,0
2,central,0.993410628191,0.0172811059908,0.05,0.05,0.345622119816,8.881784197e-16,-0.00531550019651,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654377880184,0.345622119816,0,0,0,0,0,0
2,f71911_topcode10,0.991265526977,0.0135368663594,0.05,0.05,0.270737327189,0,-0.00325508557747,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.729262672811,0.270737327189,0,0,0,0,0,0
2,size_lower,1.00680596432,0.0172811059908,0.05,0.05,0.345622119816,0,-0.00820722289441,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654377880184,0.345622119816,0,0,0,0,0,0
2,size_upper,0.781724524352,0.0111585944919,0.05,0.05,0.223171889839,0,-0.0021565493945,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.776828110161,0.223171889839,0,0,0,0,0,0
2,business_proportional,1.05595878677,0.00720461095101,0.05,0.05,0.14409221902,0,-0.00618699632603,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.85590778098,0.14409221902,0,0,0,0,0,0
2,other_wage_split2,0.993410628191,0.0172811059908,0.05,0.05,0.345622119816,8.881784197e-16,-0.00531550019651,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654377880184,0.345622119816,0,0,0,0,0,0
2,no_social_deduction_proxy,0.82266950406,0.0172811059908,0.05,0.05,0.345622119816,8.881784197e-16,-0.00761497239653,continuous-moment-calibrated statutory-bracket diagnostic; not observed filer MTR,SENSITIVITY_ONLY_NOT_IDENTIFIED,ESTAT-7156-1-2024;ESTAT-7191-1-2024;ESTAT-7153-1-2024;NTA-2026-TAX-REFORM;NTA-2026-INCOME-TAX;NTA-SALARY-DEDUCTION-1410;NTA-INCOME-TAX-RATE-2260;NTA-2026-PENSION-TAX;NTA-2026-PENSION-DETAIL;NTA-MINKAN-2024-T17;NTA-2026-DEPENDENT-DEDUCTION;ESTAT-7155-1-2024;STAT-NSFCW-2024-ANNUAL-NONCONSUMPTION-METHOD,0.654377880184,0.345622119816,0,0,0,0,0,0
