spec_version,weight_scheme,epsilon_source,epsilon,scope,decile,metric,bound,endpoint_value,solver_status_code,solver_message,max_scenario_sum_residual,max_decile_mass_residual,max_category_mass_residual,max_transport_gap,max_transport_inequality_excess,minimum_decision_variable,numpy_version,scipy_version,solver_method,scientific_status,historical_v6_restricted_lp_reproduced
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,5,income_tax_liability_weighted_mean_MTR,min,0.058761784877,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,4.16333634234e-17,1.11022302463e-16,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,5,income_tax_liability_weighted_mean_MTR,max,0.113729890589,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,5,pseudo_positive_modeled_annual_income_tax_share,min,0.213769860376,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,5,pseudo_positive_modeled_annual_income_tax_share,max,0.537836695882,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,4.16333634234e-17,1.11022302463e-16,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,6,taxable_income_weighted_mean_MTR,min,0.0945551847046,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,6,taxable_income_weighted_mean_MTR,max,0.153348627649,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,1.38777878078e-17,6.24500451352e-17,0.25,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,6,income_tax_liability_weighted_mean_MTR,min,0.104721210072,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,6,income_tax_liability_weighted_mean_MTR,max,0.166077223997,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,1.38777878078e-17,6.24500451352e-17,0.25,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,6,pseudo_positive_modeled_annual_income_tax_share,min,0.235387045814,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,6,pseudo_positive_modeled_annual_income_tax_share,max,0.532498042287,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,7,taxable_income_weighted_mean_MTR,min,0.101040597253,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,7,taxable_income_weighted_mean_MTR,max,0.163026691675,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,1.11022302463e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,7,income_tax_liability_weighted_mean_MTR,min,0.114321209827,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,5.55111512313e-17,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,7,income_tax_liability_weighted_mean_MTR,max,0.175450513879,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,1.11022302463e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,7,pseudo_positive_modeled_annual_income_tax_share,min,0.317057704502,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,7,pseudo_positive_modeled_annual_income_tax_share,max,0.537836695882,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,1.11022302463e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,8,taxable_income_weighted_mean_MTR,min,0.147301839663,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,8,taxable_income_weighted_mean_MTR,max,0.161445433607,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,8,income_tax_liability_weighted_mean_MTR,min,0.166494757771,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,8,income_tax_liability_weighted_mean_MTR,max,0.178074540871,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,8,pseudo_positive_modeled_annual_income_tax_share,min,0.429585152838,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,8,pseudo_positive_modeled_annual_income_tax_share,max,0.537836695882,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,9,taxable_income_weighted_mean_MTR,min,0.178201240515,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,9,taxable_income_weighted_mean_MTR,max,0.179159712742,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,9,income_tax_liability_weighted_mean_MTR,min,0.195432243797,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,9,income_tax_liability_weighted_mean_MTR,max,0.196515266822,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,9,pseudo_positive_modeled_annual_income_tax_share,min,0.633608815427,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,9,pseudo_positive_modeled_annual_income_tax_share,max,0.649870915278,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,10,taxable_income_weighted_mean_MTR,min,0.241928419181,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,10,taxable_income_weighted_mean_MTR,max,0.259100656512,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,10,income_tax_liability_weighted_mean_MTR,min,0.265611525043,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,10,income_tax_liability_weighted_mean_MTR,max,0.283414241215,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,10,pseudo_positive_modeled_annual_income_tax_share,min,0.668781725888,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,6.24500451352e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,decile,10,pseudo_positive_modeled_annual_income_tax_share,max,0.685043825739,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,0,5.55111512313e-17,0.25,0,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,overall,,taxable_income_weighted_mean_MTR,min,0.102407870644,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),2.22044604925e-16,0,5.55111512313e-17,0.25,1.11022302463e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
transport_lp_v1,equal_decile,pre_specified_grid,0.25,overall,,taxable_income_weighted_mean_MTR,max,0.122445873184,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),0,1.38777878078e-17,5.55111512313e-17,0.25,1.11022302463e-16,0,2.5.3,1.18.1,highs-ds,MODEL_CONTINGENT_TRANSPORT_RELAXATION,False
