tax_year,employment_duration_group,tax_status,salary_class_index,salary_class_label,salary_lower_bound_yen_exclusive,salary_upper_bound_yen_inclusive,salary_class_topcoded,secondary_payroll_persons,previous_employer_salary_unknown_persons,other_reason_persons,total_not_year_end_adjusted_persons,secondary_payroll_salary_million_yen,previous_employer_salary_unknown_million_yen,other_reason_salary_million_yen,total_salary_million_yen,secondary_payroll_tax_million_yen,previous_employer_salary_unknown_tax_million_yen,other_reason_tax_million_yen,total_tax_million_yen,source_id,source_cells,source_sha256,cell_nature,identification_warning
2024,less_than_year,taxpayer,2,200 〃,1000000,2000000,False,52985,23993,73759,150737,73091,35119,101049,209258,5667,1182,1776,8626,NTA-MINKAN-2024-T19,D8:O8,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,3,300 〃,2000000,3000000,False,13131,15551,44375,73058,31374,37727,104614,173714,3981,681,1651,6313,NTA-MINKAN-2024-T19,D9:O9,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,4,400 〃,3000000,4000000,False,5449,5474,15499,26422,19446,18577,52479,90501,4095,614,1016,5725,NTA-MINKAN-2024-T19,D10:O10,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,5,500 〃,4000000,5000000,False,2581,1334,3833,7748,11886,6048,17377,35311,2004,545,542,3091,NTA-MINKAN-2024-T19,D11:O11,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,6,600 〃,5000000,6000000,False,1495,524,1015,3034,8493,2780,5493,16766,2734,153,265,3152,NTA-MINKAN-2024-T19,D12:O12,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,7,700 〃,6000000,7000000,False,2402,1347,432,4181,15350,8720,2779,26848,2249,665,153,3067,NTA-MINKAN-2024-T19,D13:O13,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,8,800 〃,7000000,8000000,False,5,420,2401,2826,37,3234,17838,21109,10,405,1545,1959,NTA-MINKAN-2024-T19,D14:O14,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,9,900 〃,8000000,9000000,False,579,498,1280,2357,4838,4209,10701,19748,1434,386,971,2791,NTA-MINKAN-2024-T19,D15:O15,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,10,"1,000 〃",9000000,10000000,False,4,156,1286,1446,39,1462,11988,13489,15,175,2765,2955,NTA-MINKAN-2024-T19,D16:O16,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,11,"1,500 〃",10000000,15000000,False,243,396,4384,5022,3371,4300,51766,59437,608,390,9326,10324,NTA-MINKAN-2024-T19,D17:O17,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,12,"2,000 〃",15000000,20000000,False,248,300,4118,4666,4913,5376,72884,83174,1767,1080,15865,18711,NTA-MINKAN-2024-T19,D18:O18,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
2024,less_than_year,taxpayer,13,"2,500 〃",20000000,25000000,False,0,0,3132,3132,0,0,69721,69721,0,0,15423,15423,NTA-MINKAN-2024-T19,D19:O19,220b34508d4ff778cf375aabdd097d425aa7ded0f173c40022f51ad2cd2614e4,PRIVATE_SALARY_SURVEY_ESTIMATE,Payroll-survey rows do not identify person-level overlap with filed-or-processed income-tax statistics.
