decile,decile_code,decile_label,reported_item,income_component_code,income_component_label,unit,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
10,R10,R10_十分位10,等価年間収入額,21102,世帯主の配偶者の収入,千円,1560,1560,,AL13,13,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,21103,他の世帯員収入,千円,33,33,,AC14,14,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,21103,他の世帯員収入,千円,75,75,,AD14,14,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,21103,他の世帯員収入,千円,125,125,,AE14,14,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,21103,他の世帯員収入,千円,176,176,,AF14,14,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,21103,他の世帯員収入,千円,252,252,,AG14,14,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,21103,他の世帯員収入,千円,339,339,,AH14,14,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,21103,他の世帯員収入,千円,405,405,,AI14,14,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,21103,他の世帯員収入,千円,532,532,,AJ14,14,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
9,R09,R09_十分位9,等価年間収入額,21103,他の世帯員収入,千円,644,644,,AK14,14,AK,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
10,R10,R10_十分位10,等価年間収入額,21103,他の世帯員収入,千円,774,774,,AL14,14,AL,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
1,R01,R01_十分位1,等価年間収入額,212,事業・内職収入,千円,155,155,,AC15,15,AC,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
2,R02,R02_十分位2,等価年間収入額,212,事業・内職収入,千円,218,218,,AD15,15,AD,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
3,R03,R03_十分位3,等価年間収入額,212,事業・内職収入,千円,200,200,,AE15,15,AE,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
4,R04,R04_十分位4,等価年間収入額,212,事業・内職収入,千円,249,249,,AF15,15,AF,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
5,R05,R05_十分位5,等価年間収入額,212,事業・内職収入,千円,267,267,,AG15,15,AG,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
6,R06,R06_十分位6,等価年間収入額,212,事業・内職収入,千円,313,313,,AH15,15,AH,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
7,R07,R07_十分位7,等価年間収入額,212,事業・内職収入,千円,329,329,,AI15,15,AI,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
8,R08,R08_十分位8,等価年間収入額,212,事業・内職収入,千円,433,433,,AJ15,15,AJ,ESTAT-7153-1-2024,000040490416,data/raw/estat/000040490416.xlsx,3c039606b6dea33926d6fa7e7d711a1c18da490856e4812e2737c5544f34cc4c
