decile,decile_code,decile_label,asset_class,reported_item,income_component_code,income_component_label,unit,household_type_code,household_type,household_type_label,raw_value,numeric_value,missing_marker,source_cell,source_row,source_column,source_id,source_stat_inf_id,source_file,source_sha256
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R13,R13_２人以上の大人のみの世帯,２人以上の大人のみの世帯,1080,1080,,AO34064,34064,AO,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R131,R131_有業者なし,有業者なし,240,240,,AP34064,34064,AP,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R132,R132_有業者１人,有業者１人,490,490,,AQ34064,34064,AQ,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R133,R133_有業者２人以上,有業者２人以上,350,350,,AR34064,34064,AR,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R14,R14_大人２人以上と子供の世帯,大人２人以上と子供の世帯,640,640,,AS34064,34064,AS,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R141,R141_有業者なし,有業者なし,30,30,,AT34064,34064,AT,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R142,R142_有業者１人,有業者１人,270,270,,AU34064,34064,AU,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R143,R143_有業者２人以上,有業者２人以上,330,330,,AV34064,34064,AV,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R2,R2_（再掲）世帯主が66歳以上,（再掲）世帯主が66歳以上,5370,5370,,AW34064,34064,AW,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R21,R21_単身世帯,単身世帯,2480,2480,,AX34064,34064,AX,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R211,R211_無業,無業,2250,2250,,AY34064,34064,AY,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R212,R212_有業,有業,230,230,,AZ34064,34064,AZ,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R22,R22_２人以上の世帯,２人以上の世帯,2890,2890,,BA34064,34064,BA,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R221,R221_有業者なし,有業者なし,2210,2210,,BB34064,34064,BB,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R222,R222_有業者１人以上,有業者１人以上,680,680,,BC34064,34064,BC,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R3,R3_（再掲）単身世帯,（再掲）単身世帯,3650,3650,,BD34064,34064,BD,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R4,R4_（再掲）大人１人と子供の世帯,（再掲）大人１人と子供の世帯,370,370,,BE34064,34064,BE,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R5,R5_（再掲）２人以上の大人のみの世帯,（再掲）２人以上の大人のみの世帯,3900,3900,,BF34064,34064,BF,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,集計世帯数（概数）,0,総数,,R6,R6_（再掲）大人２人以上と子供の世帯,（再掲）大人２人以上と子供の世帯,700,700,,BG34064,34064,BG,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,00,00_総世帯,総世帯,1255,1255,,K34065,34065,K,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,01,01_世帯主が65歳未満,世帯主が65歳未満,1286,1286,,L34065,34065,L,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,011,011_単身世帯,単身世帯,1148,1148,,M34065,34065,M,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0111,0111_無業,無業,1027,1027,,N34065,34065,N,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0112,0112_有業,有業,1286,1286,,O34065,34065,O,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,012,012_大人１人と子供の世帯,大人１人と子供の世帯,1151,1151,,P34065,34065,P,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0121,0121_無業,無業,1005,1005,,Q34065,34065,Q,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0122,0122_有業,有業,1196,1196,,R34065,34065,R,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,013,013_２人以上の大人のみの世帯,２人以上の大人のみの世帯,1368,1368,,S34065,34065,S,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0131,0131_有業者なし,有業者なし,1127,1127,,T34065,34065,T,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0132,0132_有業者１人,有業者１人,1396,1396,,U34065,34065,U,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0133,0133_有業者２人以上,有業者２人以上,1547,1547,,V34065,34065,V,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,014,014_大人２人以上と子供の世帯,大人２人以上と子供の世帯,1420,1420,,W34065,34065,W,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0141,0141_有業者なし,有業者なし,977,977,,X34065,34065,X,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0142,0142_有業者１人,有業者１人,1381,1381,,Y34065,34065,Y,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0143,0143_有業者２人以上,有業者２人以上,1542,1542,,Z34065,34065,Z,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,02,02_世帯主が65歳以上,世帯主が65歳以上,1228,1228,,AA34065,34065,AA,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,021,021_単身世帯,単身世帯,1116,1116,,AB34065,34065,AB,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0211,0211_無業,無業,1102,1102,,AC34065,34065,AC,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0212,0212_有業,有業,1272,1272,,AD34065,34065,AD,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,022,022_２人以上の世帯,２人以上の世帯,1306,1306,,AE34065,34065,AE,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0221,0221_有業者なし,有業者なし,1257,1257,,AF34065,34065,AF,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,0222,0222_有業者１人以上,有業者１人以上,1421,1421,,AG34065,34065,AG,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R1,R1_（再掲）世帯主が66歳未満,（再掲）世帯主が66歳未満,1284,1284,,AH34065,34065,AH,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
1,R01,R01_十分位1,00_平均,等価年間収入額,2,等価年間収入,千円,R11,R11_単身世帯,単身世帯,1144,1144,,AI34065,34065,AI,ESTAT-7156-1-2024,000040490419,data/raw/estat/000040490419.xlsx,b5cdd2ba4f2501956fa8ffe36ee061267690bbca801156c6b3aa43580559135f
